N,Hmax,obs_count,placement,cover_enabled,poison_rate,accuracy,total_guesses,correct_guesses,total_messages,dummy_messages,dummy_fraction,graph_precision,graph_recall,graph_f1,estimated_nodes,estimated_edges,avg_confidence,total_replies,avg_reply_delay,conversation_threads,avg_path_length,path_diversity,seed
100,3,5,random,False,0.0,0.04638218923933209,1078,50,6171,0,0.0,0.8918918918918919,0.019197207678883072,0.03758542141230068,39,37,0.391494352056857,3208,2.1975827640567527,1800,2.8313077297034517,0.8497812348079727,1
200,1,5,high-degree,True,0.1,0.017701385325808106,7796,138,22379,8350,0.3731176549443675,0.9777777777777777,0.006221719457013574,0.012364760432766615,46,45,0.39425428046022454,7890,2.426519076778144,7038,2.6188837749676037,0.8448098663926003,1
50,3,5,high-degree,True,0.05,0.09296482412060302,796,74,3181,494,0.155297076391072,0.9324324324324325,0.1658653846153846,0.2816326530612245,42,74,0.4217078008629269,1159,1.6782051282051282,478,2.96762024520591,0.7287016661427224,1
400,1,5,high-degree,True,0.05,0.009117417553082261,24349,222,63340,34266,0.5409851594568993,0.8260869565217391,0.0013328189119988776,0.0026613439787092482,51,46,0.35327979261424225,17127,2.5532498509242694,24885,2.5827439216924533,0.8665614145879381,1
100,1,5,high-degree,True,0.05,0.03081785855393125,2531,78,8306,2002,0.24103058030339514,0.9318181818181818,0.0477021524141943,0.09075816270060875,69,88,0.39215324978399246,3341,2.2169082125603863,1926,2.83289188538406,0.8117023838189261,1
50,1,5,cluster,True,0.1,0.09505208333333333,768,73,3146,444,0.14113159567705022,0.875,0.1346153846153846,0.23333333333333334,34,64,0.4239911118202369,1174,1.860935524652339,477,2.9787031150667516,0.7504767959313414,1
300,1,5,cluster,True,0.1,0.010262861683109315,15103,155,40937,18933,0.4624911449300144,0.9333333333333333,0.0034914894943575037,0.006956953848065097,56,60,0.3717206786234363,12850,2.5462083521785015,14688,2.5902728582944525,0.8614700637565039,1
100,3,5,high-degree,True,0.1,0.030179445350734094,2452,74,8227,1980,0.24067096146833597,0.8829787234042553,0.048283885980221056,0.09156094870380584,65,94,0.39969309793835184,3284,2.113216957605985,1911,2.8162149021514526,0.8091649446942992,1
200,1,5,random,False,0.0,0.025157232704402517,2385,60,13969,0,0.0,1.0,0.0012726244343891403,0.002542013839853128,13,9,0.39760409665468727,7830,2.3907442748091605,5783,2.638485217266805,0.9072947240317847,1
400,3,5,random,False,0.0,0.01504652544050683,5051,76,29149,0,0.0,1.0,0.0003156676370523658,0.0006311360448807854,14,9,0.34227392032595816,17202,2.545400873774944,15448,2.6031424748704928,0.9398264091392501,1
